Município1,Código Município IBGE,População estimada (2020),UF1,05/03/20,06/03/20,12/03/20,13/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20,15/05/20,16/05/20,17/05/20,18/05/20,19/05/20,20/05/20,21/05/20,22/05/20,23/05/20,24/05/20,25/05/20,26/05/20,27/05/20,28/05/20,29/05/20,30/05/20,31/05/20,01/06/20,02/06/20,03/06/20,04/06/20,05/06/20,06/06/20,07/06/20,08/06/20,09/06/20,10/06/20,11/06/20,12/06/20,13/06/20,14/06/20,15/06/20,16/06/20,17/06/20,18/06/20,19/06/20,20/06/20,21/06/20,22/06/20,23/06/20,24/06/20,25/06/20,26/06/20,27/06/20,28/06/20,29/06/20,30/06/20,01/07/20,02/07/20,03/07/20,04/07/20,05/07/20,06/07/20,07/07/20,08/07/20,09/07/20,10/07/20,11/07/20,12/07/20,13/07/20,14/07/20,15/07/20,16/07/20,17/07/20,18/07/20,19/07/20,20/07/20,21/07/20,22/07/20,23/07/20,24/07/20,25/07/20,26/07/20,27/07/20,28/07/20,29/07/20,30/07/20,31/07/20,01/08/20,02/08/20,03/08/20,04/08/20,05/08/20,06/08/20,07/08/20,08/08/20,09/08/20,10/08/20,11/08/20,12/08/20,13/08/20,14/08/20,15/08/20,16/08/20,17/08/20,18/08/20,19/08/20,20/08/20,21/08/20,22/08/20,23/08/20,24/08/20,25/08/20,26/08/20,27/08/20,28/08/20,29/08/20,30/08/20,31/08/20,01/09/20,02/09/20,03/09/20,04/09/20,05/09/20,06/09/20,07/09/20,08/09/20,09/09/20,10/09/20,11/09/20,12/09/20,13/09/20,14/09/20,15/09/20,16/09/20,17/09/20,18/09/20,19/09/20,20/09/20,21/09/20,22/09/20,23/09/20,24/09/20,25/09/20,26/09/20,27/09/20,28/09/20,29/09/20,30/09/20,01/10/20,02/10/20,03/10/20,04/10/20,05/10/20,06/10/20,07/10/20,08/10/20,09/10/20,10/10/20,11/10/20,12/10/20,13/10/20,14/10/20,15/10/20,16/10/20,17/10/20,18/10/20,19/10/20,20/10/20,21/10/20,22/10/20,23/10/20,24/10/20,25/10/20,26/10/20,27/10/20,28/10/20,29/10/20,30/10/20,31/10/20,01/11/20,02/11/20,03/11/20,04/11/20,05/11/20,06/11/20,07/11/20,08/11/20,09/11/20,10/11/20,11/11/20,12/11/20,13/11/20,14/11/20,15/11/20,16/11/20,17/11/20,18/11/20,19/11/20,20/11/20,21/11/20,22/11/20,23/11/20,24/11/20,25/11/20,26/11/20,27/11/20,28/11/20,29/11/20,30/11/20,01/12/20,02/12/20,03/12/20
SÃO JOÃO DA BOA VISTA,3549102,91771,SP,42%,39%,37%,40%,47%,48%,50%,51%,64%,64%,59%,61%,60%,60%,59%,62%,66%,61%,62%,62%,61%,60%,65%,65%,58%,57%,55%,51%,68%,59%,65%,52%,55%,52%,52%,50%,57%,65%,53%,62%,51%,51%,50%,56%,62%,50%,51%,50%,49%,61%,57%,63%,49%,49%,49%,49%,47%,53%,58%,49%,49%,49%,49%,47%,51%,53%,49%,48%,49%,50%,49%,51%,56%,54%,47%,48%,49%,48%,52%,54%,49%,49%,47%,47%,48%,48%,53%,47%,48%,47%,49%,48%,47%,53%,47%,48%,49%,45%,47%,49%,50%,48%,48%,48%,46%,47%,48%,50%,46%,48%,47%,47%,46%,47%,50%,46%,45%,46%,48%,47%,47%,50%,45%,45%,47%,46%,46%,47%,52%,43%,44%,46%,46%,47%,47%,55%,46%,45%,47%,45%,45%,50%,52%,44%,45%,45%,45%,44%,48%,51%,45%,45%,43%,43%,47%,50%,54%,48%,45%,46%,46%,46%,50%,54%,48%,43%,44%,46%,46%,45%,54%,44%,44%,48%,44%,45%,47%,49%,48%,46%,48%,46%,46%,48%,51%,45%,45%,46%,44%,46%,45%,52%,45%,48%,47%,47%,44%,46%,49%,45%,44%,42%,44%,44%,44%,51%,45%,45%,45%,47%,47%,46%,51%,53%,44%,46%,45%,47%,49%,49%,44%,45%,47%,43%,44%,43%,49%,44%,43%,44%,44%,43%,47%,50%,50%,45%,45%,44%,43%,46%,51%,37%,46%,45%,41%,45%,46%,50%,38%,45%,42%,42%,45%,48%,46%,39%,46%,41%,42%,46%,44%,49%,46%,44%,44%,43%
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,30%,28%,26%,28%,35%,35%,45%,40%,52%,51%,47%,49%,51%,49%,48%,52%,57%,50%,49%,50%,49%,47%,53%,55%,46%,45%,44%,40%,53%,49%,53%,43%,45%,43%,42%,40%,48%,55%,42%,53%,40%,41%,39%,46%,53%,40%,41%,40%,38%,50%,46%,53%,40%,39%,39%,39%,37%,43%,47%,39%,38%,39%,39%,38%,46%,49%,44%,44%,44%,44%,42%,45%,50%,47%,41%,43%,43%,42%,47%,49%,43%,43%,43%,42%,41%,45%,48%,43%,43%,42%,45%,42%,44%,47%,43%,43%,42%,42%,41%,43%,47%,43%,43%,43%,43%,42%,44%,47%,43%,43%,42%,42%,42%,43%,47%,42%,42%,42%,42%,41%,43%,47%,42%,42%,42%,42%,41%,43%,47%,39%,39%,38%,38%,37%,41%,47%,39%,38%,37%,38%,37%,41%,48%,38%,39%,37%,37%,36%,40%,46%,38%,38%,37%,38%,39%,43%,49%,41%,40%,39%,39%,37%,41%,48%,40%,39%,38%,37%,36%,40%,47%,38%,39%,38%,38%,37%,40%,45%,47%,38%,38%,38%,37%,40%,47%,38%,38%,38%,38%,37%,40%,46%,38%,38%,37%,37%,36%,39%,45%,38%,38%,38%,35%,36%,39%,44%,36%,37%,36%,37%,37%,38%,44%,46%,36%,36%,37%,39%,39%,44%,37%,37%,37%,36%,36%,39%,45%,37%,37%,37%,37%,36%,42%,44%,44%,36%,37%,35%,35%,39%,43%,36%,37%,37%,36%,35%,39%,43%,36%,37%,37%,36%,36%,39%,43%,36%,36%,36%,37%,36%,40%,44%,37%,36%,37%,37%
SÃO JOSÉ DOS CAMPOS,3549904,729737,SP,34%,33%,31%,34%,40%,41%,50%,47%,58%,57%,52%,55%,55%,54%,55%,57%,60%,56%,56%,56%,55%,55%,58%,60%,52%,51%,51%,49%,59%,56%,60%,50%,50%,50%,50%,49%,55%,61%,51%,57%,48%,48%,48%,52%,59%,48%,48%,47%,47%,56%,55%,61%,48%,48%,48%,49%,46%,51%,55%,48%,47%,47%,48%,47%,52%,56%,49%,49%,49%,49%,48%,51%,56%,53%,48%,49%,49%,47%,55%,55%,49%,48%,48%,48%,47%,52%,55%,48%,48%,47%,52%,47%,50%,55%,48%,48%,48%,47%,47%,47%,53%,47%,47%,46%,46%,46%,49%,53%,47%,46%,46%,46%,45%,48%,52%,46%,46%,46%,46%,45%,48%,52%,46%,46%,46%,46%,45%,48%,52%,45%,45%,44%,44%,43%,47%,53%,50%,44%,45%,45%,44%,47%,53%,44%,45%,44%,44%,43%,46%,50%,45%,44%,43%,44%,44%,47%,55%,46%,46%,45%,45%,45%,48%,52%,44%,45%,43%,43%,42%,43%,51%,43%,44%,43%,43%,42%,44%,49%,51%,43%,44%,43%,42%,45%,50%,43%,44%,43%,43%,42%,44%,52%,44%,44%,43%,43%,42%,44%,49%,43%,43%,42%,42%,41%,42%,50%,42%,42%,41%,42%,43%,42%,48%,50%,42%,42%,42%,43%,44%,50%,42%,42%,42%,41%,42%,44%,48%,42%,42%,42%,42%,42%,50%,49%,51%,42%,42%,41%,41%,44%,48%,41%,42%,42%,41%,41%,44%,47%,42%,42%,42%,41%,40%,43%,48%,42%,42%,41%,41%,40%,44%,48%,40%,41%,42%,42%
SÃO PAULO,3550308,12325232,SP,28%,27%,25%,29%,38%,40%,43%,45%,57%,56%,53%,55%,55%,55%,55%,56%,59%,57%,56%,56%,56%,56%,58%,59%,54%,52%,51%,48%,56%,54%,58%,50%,50%,50%,49%,49%,53%,58%,51%,57%,48%,48%,48%,52%,58%,48%,48%,48%,47%,55%,52%,58%,48%,48%,47%,48%,46%,50%,54%,49%,48%,48%,49%,48%,52%,56%,50%,49%,51%,52%,49%,53%,57%,53%,49%,49%,49%,48%,52%,55%,49%,50%,49%,49%,48%,51%,53%,48%,48%,48%,48%,47%,49%,54%,48%,48%,47%,46%,46%,48%,53%,47%,47%,47%,45%,46%,49%,53%,47%,46%,46%,46%,45%,47%,52%,46%,46%,45%,46%,45%,47%,52%,45%,46%,46%,46%,44%,46%,52%,44%,44%,43%,43%,42%,45%,52%,44%,43%,44%,44%,43%,45%,51%,43%,43%,43%,42%,41%,43%,48%,43%,44%,42%,43%,42%,46%,53%,44%,44%,43%,44%,42%,47%,52%,43%,44%,43%,43%,41%,43%,50%,43%,43%,42%,42%,40%,43%,48%,50%,42%,42%,42%,40%,43%,49%,42%,42%,42%,42%,41%,43%,50%,43%,43%,42%,42%,41%,42%,48%,42%,42%,41%,41%,40%,42%,49%,41%,41%,40%,41%,41%,42%,47%,49%,40%,41%,41%,42%,43%,49%,41%,41%,41%,40%,40%,43%,49%,41%,41%,40%,40%,41%,44%,48%,49%,40%,40%,39%,39%,42%,47%,40%,40%,40%,39%,39%,42%,45%,40%,41%,40%,40%,40%,42%,47%,40%,40%,40%,40%,39%,42%,45%,39%,39%,39%,39%
SÃO ROQUE,3550605,92060,SP,39%,38%,36%,37%,43%,45%,45%,48%,60%,61%,57%,59%,59%,59%,58%,60%,64%,59%,60%,59%,59%,59%,62%,62%,56%,55%,55%,52%,63%,59%,63%,54%,56%,55%,54%,52%,57%,63%,54%,61%,52%,52%,51%,56%,63%,52%,52%,52%,51%,60%,56%,63%,51%,51%,51%,50%,49%,53%,57%,51%,51%,52%,53%,50%,51%,57%,48%,48%,48%,50%,48%,52%,58%,54%,47%,47%,48%,46%,51%,55%,47%,48%,47%,46%,45%,47%,51%,46%,47%,46%,51%,46%,49%,55%,47%,47%,46%,45%,45%,48%,54%,46%,46%,42%,45%,46%,50%,54%,46%,45%,45%,45%,45%,45%,52%,45%,45%,44%,44%,44%,47%,53%,45%,46%,46%,45%,44%,46%,51%,43%,43%,42%,42%,42%,46%,53%,44%,43%,42%,43%,43%,44%,53%,42%,42%,41%,41%,41%,43%,48%,43%,43%,41%,43%,42%,46%,54%,44%,44%,43%,43%,42%,46%,53%,43%,43%,43%,43%,42%,44%,50%,43%,43%,41%,41%,41%,42%,48%,49%,42%,43%,41%,41%,43%,49%,42%,42%,41%,41%,41%,43%,49%,43%,43%,43%,42%,42%,43%,47%,42%,40%,41%,38%,42%,42%,49%,41%,41%,40%,37%,40%,41%,49%,49%,39%,41%,41%,42%,43%,49%,41%,42%,42%,41%,40%,44%,49%,41%,41%,41%,41%,41%,43%,50%,48%,39%,41%,40%,39%,40%,46%,40%,41%,40%,40%,39%,40%,46%,40%,40%,40%,40%,40%,41%,46%,40%,41%,40%,39%,40%,41%,45%,39%,39%,40%,40%
SÃO SEBASTIÃO,3550704,90328,SP,52%,46%,44%,47%,55%,57%,60%,60%,71%,73%,68%,71%,72%,71%,69%,71%,71%,72%,74%,74%,73%,72%,75%,71%,68%,67%,67%,65%,71%,71%,72%,66%,66%,66%,67%,67%,70%,73%,67%,65%,62%,64%,65%,67%,69%,63%,64%,64%,63%,68%,69%,67%,62%,63%,62%,66%,65%,66%,68%,64%,63%,63%,67%,67%,64%,66%,61%,61%,62%,62%,62%,65%,67%,63%,60%,61%,61%,60%,66%,65%,60%,59%,59%,60%,59%,62%,63%,58%,59%,59%,61%,58%,61%,61%,58%,58%,58%,57%,57%,61%,62%,56%,58%,58%,59%,57%,59%,61%,58%,56%,57%,57%,57%,60%,62%,56%,57%,57%,57%,57%,60%,60%,54%,57%,57%,58%,57%,59%,60%,53%,55%,55%,55%,55%,56%,59%,54%,54%,54%,56%,56%,57%,59%,52%,54%,54%,53%,52%,55%,55%,52%,53%,53%,52%,56%,58%,57%,55%,55%,56%,55%,55%,59%,61%,54%,56%,56%,53%,53%,56%,55%,48%,54%,55%,54%,54%,57%,57%,51%,47%,54%,53%,54%,55%,54%,48%,49%,53%,54%,53%,55%,55%,52%,55%,54%,54%,51%,55%,54%,50%,53%,52%,54%,52%,54%,55%,51%,51%,49%,51%,52%,54%,57%,49%,44%,54%,54%,54%,57%,55%,49%,52%,53%,52%,53%,52%,53%,50%,53%,52%,50%,54%,57%,61%,52%,49%,51%,53%,53%,57%,53%,47%,51%,51%,53%,53%,54%,54%,48%,54%,53%,53%,55%,54%,52%,47%,53%,53%,52%,54%,54%,51%,50%,46%,53%,52%
SÃO VICENTE,3551009,368355,SP,38%,36%,35%,38%,43%,44%,47%,49%,58%,62%,56%,57%,58%,58%,57%,60%,63%,61%,61%,60%,60%,59%,64%,64%,57%,56%,57%,56%,66%,62%,68%,58%,58%,58%,58%,56%,62%,68%,58%,66%,56%,56%,56%,61%,68%,56%,56%,55%,54%,64%,61%,68%,55%,52%,53%,56%,53%,59%,64%,55%,55%,55%,56%,56%,51%,54%,49%,49%,49%,49%,47%,51%,54%,53%,49%,49%,48%,48%,50%,53%,48%,49%,48%,48%,47%,50%,53%,47%,47%,47%,50%,46%,48%,53%,48%,47%,47%,46%,46%,48%,52%,47%,47%,48%,46%,47%,51%,53%,47%,46%,46%,46%,45%,47%,51%,46%,46%,46%,47%,45%,47%,51%,46%,46%,47%,46%,45%,47%,51%,45%,45%,44%,45%,44%,47%,53%,46%,45%,47%,47%,46%,47%,52%,45%,44%,44%,44%,42%,45%,50%,44%,45%,45%,45%,45%,48%,55%,46%,47%,42%,46%,46%,49%,53%,45%,46%,45%,45%,44%,45%,51%,43%,45%,45%,44%,44%,45%,48%,49%,44%,44%,44%,43%,45%,50%,43%,45%,44%,44%,43%,46%,50%,44%,46%,45%,44%,43%,45%,49%,43%,43%,44%,44%,42%,45%,52%,43%,43%,43%,44%,44%,44%,48%,48%,40%,43%,43%,43%,45%,49%,42%,43%,43%,43%,43%,45%,50%,42%,44%,43%,43%,46%,47%,52%,50%,42%,43%,43%,42%,46%,47%,41%,43%,43%,43%,42%,45%,48%,42%,44%,43%,44%,46%,44%,48%,41%,44%,43%,43%,44%,44%,45%,41%,41%,43%,43%
SERTÃOZINHO,3551702,127142,SP,41%,39%,35%,40%,44%,45%,47%,45%,60%,59%,54%,55%,56%,55%,54%,58%,63%,58%,59%,58%,57%,58%,64%,64%,55%,54%,53%,50%,66%,61%,67%,52%,52%,52%,50%,50%,59%,67%,53%,63%,50%,49%,49%,58%,65%,48%,47%,48%,49%,61%,59%,65%,49%,49%,48%,48%,47%,54%,60%,48%,47%,48%,49%,47%,47%,50%,47%,47%,47%,46%,47%,47%,51%,49%,45%,47%,47%,46%,48%,49%,46%,46%,45%,46%,46%,46%,50%,46%,46%,46%,48%,45%,47%,49%,46%,47%,47%,45%,46%,48%,50%,45%,47%,47%,46%,46%,46%,49%,46%,46%,47%,46%,45%,47%,49%,46%,46%,46%,46%,46%,47%,49%,46%,46%,46%,45%,43%,47%,49%,44%,44%,45%,43%,44%,48%,53%,44%,45%,43%,44%,44%,46%,52%,43%,43%,43%,42%,41%,46%,51%,43%,43%,43%,42%,43%,46%,52%,43%,44%,44%,43%,42%,45%,50%,43%,43%,42%,42%,40%,45%,50%,42%,45%,42%,43%,42%,43%,48%,48%,42%,44%,42%,44%,46%,51%,43%,43%,45%,42%,43%,44%,49%,43%,41%,43%,43%,41%,44%,50%,42%,41%,43%,44%,42%,45%,51%,44%,43%,44%,43%,42%,43%,50%,49%,42%,43%,43%,45%,45%,52%,42%,42%,43%,42%,43%,47%,50%,44%,42%,43%,43%,42%,51%,49%,48%,42%,41%,40%,42%,46%,50%,42%,41%,42%,42%,41%,48%,48%,42%,42%,42%,42%,42%,48%,49%,42%,43%,41%,43%,43%,48%,48%,41%,42%,44%,42%
SOROCABA,3552205,687357,SP,31%,29%,28%,30%,36%,37%,40%,40%,52%,52%,49%,51%,52%,51%,51%,54%,56%,53%,53%,53%,52%,52%,54%,56%,49%,48%,48%,45%,56%,53%,57%,48%,49%,48%,47%,46%,51%,57%,48%,55%,46%,46%,45%,50%,57%,46%,45%,44%,44%,54%,50%,56%,43%,44%,44%,44%,42%,47%,51%,44%,44%,44%,45%,42%,45%,48%,44%,43%,43%,43%,42%,46%,50%,45%,39%,42%,42%,42%,47%,47%,42%,42%,42%,41%,41%,45%,49%,42%,42%,41%,45%,41%,43%,48%,41%,41%,41%,40%,39%,42%,47%,41%,42%,41%,41%,41%,44%,47%,42%,42%,41%,41%,40%,43%,47%,40%,41%,41%,41%,40%,42%,47%,40%,41%,40%,41%,40%,42%,47%,37%,37%,38%,36%,36%,39%,45%,38%,37%,37%,37%,37%,39%,44%,37%,37%,37%,36%,35%,37%,41%,37%,36%,35%,35%,36%,39%,46%,37%,38%,36%,37%,36%,40%,44%,37%,37%,36%,35%,35%,36%,42%,36%,36%,35%,35%,35%,36%,41%,43%,36%,36%,35%,35%,37%,41%,35%,35%,35%,35%,35%,37%,42%,36%,35%,35%,34%,35%,37%,40%,36%,35%,35%,35%,35%,35%,40%,34%,35%,34%,35%,35%,34%,39%,42%,34%,35%,34%,36%,36%,41%,35%,34%,34%,35%,34%,37%,40%,35%,35%,35%,35%,34%,39%,41%,41%,34%,34%,33%,33%,37%,42%,34%,34%,34%,34%,34%,36%,40%,35%,34%,35%,34%,36%,36%,40%,34%,34%,35%,34%,35%,37%,39%,34%,33%,34%,34%
SUMARÉ,3552403,286211,SP,33%,32%,30%,33%,37%,37%,40%,40%,55%,54%,48%,50%,50%,50%,50%,54%,58%,51%,51%,50%,50%,49%,56%,58%,48%,46%,46%,43%,56%,52%,57%,46%,45%,45%,45%,44%,50%,58%,47%,54%,43%,44%,44%,50%,56%,44%,43%,43%,42%,53%,49%,56%,42%,42%,42%,41%,41%,47%,51%,43%,42%,42%,41%,41%,46%,50%,45%,44%,44%,45%,44%,46%,51%,45%,43%,44%,44%,44%,49%,49%,44%,44%,43%,43%,43%,45%,49%,43%,43%,43%,45%,42%,44%,48%,43%,43%,43%,42%,42%,45%,49%,43%,43%,43%,43%,42%,45%,48%,43%,43%,43%,42%,43%,44%,48%,42%,42%,42%,43%,42%,45%,48%,42%,43%,42%,42%,41%,44%,47%,39%,40%,40%,39%,39%,42%,47%,41%,40%,40%,39%,38%,42%,48%,40%,39%,39%,39%,37%,40%,44%,39%,39%,40%,36%,36%,39%,45%,38%,37%,36%,37%,36%,39%,44%,37%,37%,36%,36%,36%,36%,43%,37%,37%,36%,37%,35%,36%,40%,43%,37%,37%,35%,35%,38%,42%,36%,37%,36%,36%,37%,38%,42%,37%,37%,37%,36%,36%,38%,40%,37%,36%,35%,36%,36%,37%,41%,35%,36%,36%,35%,35%,37%,41%,42%,35%,34%,35%,39%,38%,41%,36%,36%,35%,35%,37%,39%,41%,35%,35%,33%,35%,36%,45%,42%,40%,35%,35%,34%,35%,38%,41%,34%,37%,36%,35%,36%,39%,40%,36%,36%,35%,35%,37%,39%,40%,37%,37%,35%,35%,35%,38%,40%,35%,35%,36%,36%
SUZANO,3552502,300559,SP,37%,35%,34%,36%,42%,43%,45%,46%,55%,57%,54%,55%,56%,56%,55%,58%,61%,58%,58%,57%,59%,58%,59%,61%,54%,52%,53%,51%,61%,58%,63%,53%,54%,54%,54%,53%,57%,64%,54%,61%,52%,52%,51%,56%,62%,52%,52%,52%,50%,59%,56%,63%,51%,50%,51%,52%,49%,52%,58%,51%,51%,51%,52%,51%,47%,52%,46%,45%,45%,46%,47%,49%,51%,49%,44%,45%,45%,44%,50%,51%,44%,45%,44%,44%,43%,45%,50%,44%,43%,43%,46%,43%,45%,50%,44%,44%,44%,42%,43%,44%,48%,43%,43%,43%,42%,42%,45%,48%,43%,43%,43%,42%,42%,44%,46%,42%,42%,41%,43%,41%,44%,47%,42%,42%,42%,41%,41%,43%,47%,40%,39%,39%,40%,39%,42%,46%,41%,40%,40%,40%,40%,40%,46%,40%,39%,40%,40%,38%,40%,43%,39%,39%,38%,39%,38%,39%,47%,39%,41%,39%,40%,38%,39%,42%,39%,39%,38%,38%,37%,38%,42%,37%,39%,39%,39%,37%,40%,40%,43%,38%,39%,38%,38%,39%,42%,38%,37%,38%,37%,37%,39%,43%,39%,39%,37%,38%,38%,39%,42%,39%,37%,36%,38%,38%,38%,42%,38%,36%,38%,38%,39%,37%,42%,45%,37%,38%,38%,39%,41%,45%,38%,39%,39%,37%,40%,40%,44%,39%,38%,38%,38%,39%,45%,43%,46%,38%,39%,38%,38%,39%,45%,39%,37%,37%,37%,38%,40%,41%,38%,38%,39%,37%,40%,40%,42%,39%,38%,38%,38%,38%,40%,42%,38%,38%,38%,38%
TABOÃO DA SERRA,3552809,293652,SP,31%,30%,28%,31%,38%,40%,43%,44%,55%,56%,52%,53%,54%,54%,52%,55%,59%,55%,56%,55%,55%,54%,57%,58%,52%,51%,51%,48%,57%,55%,60%,50%,49%,50%,49%,49%,53%,59%,51%,57%,48%,48%,48%,52%,59%,48%,49%,48%,47%,55%,52%,59%,48%,47%,47%,46%,45%,49%,53%,48%,48%,48%,49%,48%,48%,50%,46%,46%,47%,48%,46%,48%,52%,48%,45%,46%,45%,44%,49%,51%,45%,46%,45%,45%,44%,47%,49%,44%,45%,45%,46%,44%,45%,50%,45%,45%,44%,43%,43%,45%,49%,44%,44%,44%,43%,44%,46%,49%,44%,43%,43%,43%,43%,44%,48%,43%,43%,42%,44%,42%,43%,47%,43%,43%,43%,42%,42%,43%,47%,41%,41%,39%,39%,38%,41%,47%,41%,41%,41%,40%,40%,41%,46%,40%,40%,39%,39%,38%,40%,43%,43%,44%,42%,44%,43%,45%,52%,44%,45%,44%,44%,43%,47%,51%,42%,44%,43%,44%,42%,42%,48%,43%,43%,42%,42%,42%,42%,46%,49%,43%,43%,42%,41%,43%,48%,42%,43%,43%,42%,42%,44%,49%,43%,44%,43%,43%,41%,42%,45%,43%,43%,42%,41%,40%,41%,47%,41%,41%,40%,42%,41%,41%,45%,48%,40%,41%,40%,42%,42%,46%,41%,41%,41%,41%,39%,42%,47%,42%,41%,40%,41%,41%,44%,46%,48%,40%,40%,39%,39%,41%,45%,39%,40%,40%,40%,39%,41%,43%,40%,41%,40%,40%,39%,39%,44%,39%,39%,40%,40%,38%,40%,42%,38%,39%,39%,38%
TATUÍ,3554003,122967,SP,38%,34%,34%,36%,41%,43%,45%,46%,54%,55%,53%,54%,54%,53%,52%,53%,56%,57%,56%,56%,55%,55%,57%,59%,53%,52%,51%,51%,62%,57%,61%,53%,53%,53%,51%,51%,56%,61%,53%,58%,51%,51%,51%,55%,61%,51%,51%,52%,49%,59%,55%,61%,48%,49%,49%,49%,48%,51%,55%,50%,49%,50%,50%,49%,46%,50%,44%,43%,43%,43%,42%,47%,52%,47%,41%,43%,43%,42%,46%,47%,42%,43%,42%,42%,42%,47%,49%,42%,43%,42%,45%,41%,44%,48%,42%,42%,41%,40%,40%,43%,47%,41%,42%,42%,41%,42%,46%,48%,43%,42%,42%,42%,41%,45%,49%,41%,41%,41%,40%,41%,44%,48%,41%,42%,41%,41%,41%,42%,47%,39%,39%,39%,39%,38%,40%,47%,39%,,39%,38%,38%,41%,47%,36%,38%,38%,38%,37%,39%,43%,38%,38%,37%,36%,38%,40%,50%,40%,41%,38%,41%,41%,43%,48%,40%,39%,40%,40%,39%,41%,45%,40%,40%,40%,38%,37%,40%,43%,45%,38%,39%,38%,38%,40%,44%,39%,39%,39%,38%,39%,40%,45%,40%,40%,39%,38%,39%,40%,44%,40%,40%,39%,40%,38%,39%,45%,38%,39%,38%,40%,39%,39%,45%,46%,37%,38%,39%,40%,41%,45%,39%,39%,39%,39%,39%,41%,45%,39%,39%,38%,38%,39%,39%,44%,45%,39%,39%,38%,37%,40%,44%,39%,39%,38%,38%,38%,40%,43%,38%,39%,38%,37%,38%,40%,43%,38%,39%,38%,38%,38%,40%,44%,38%,37%,38%,38%
TAUBATÉ,3554102,317915,SP,37%,36%,33%,36%,43%,43%,46%,48%,59%,57%,55%,56%,57%,56%,55%,57%,59%,57%,57%,57%,56%,56%,59%,59%,53%,52%,51%,47%,59%,55%,59%,55%,50%,48%,50%,49%,54%,59%,51%,56%,48%,49%,48%,53%,58%,49%,48%,48%,47%,55%,52%,59%,47%,47%,46%,47%,45%,50%,53%,47%,47%,46%,47%,46%,48%,51%,47%,47%,47%,47%,46%,48%,52%,48%,44%,46%,46%,46%,50%,50%,46%,45%,46%,46%,45%,47%,49%,46%,46%,45%,48%,45%,47%,50%,45%,46%,45%,44%,44%,46%,50%,45%,46%,46%,45%,45%,47%,50%,45%,44%,45%,45%,44%,46%,49%,44%,45%,45%,45%,44%,46%,49%,45%,45%,45%,45%,44%,46%,49%,41%,42%,41%,41%,41%,43%,49%,42%,41%,39%,41%,40%,43%,49%,41%,41%,40%,40%,38%,42%,45%,40%,40%,39%,37%,37%,40%,46%,38%,38%,38%,40%,38%,41%,44%,37%,39%,38%,38%,37%,39%,44%,37%,38%,38%,38%,36%,37%,43%,43%,37%,38%,38%,36%,38%,44%,36%,38%,38%,37%,38%,39%,44%,38%,38%,37%,38%,37%,38%,43%,37%,38%,36%,38%,37%,37%,43%,37%,37%,37%,37%,38%,37%,42%,44%,36%,38%,37%,40%,38%,43%,37%,37%,37%,36%,36%,38%,43%,37%,37%,37%,37%,37%,44%,44%,44%,38%,38%,36%,37%,38%,42%,37%,38%,37%,36%,36%,39%,41%,37%,38%,37%,36%,36%,38%,42%,38%,37%,36%,37%,36%,39%,40%,36%,36%,37%,36%
UBATUBA,3555406,91824,SP,49%,47%,45%,47%,54%,55%,58%,62%,71%,70%,67%,69%,69%,68%,66%,67%,68%,71%,71%,70%,70%,70%,72%,70%,67%,66%,64%,62%,70%,69%,71%,64%,64%,64%,65%,64%,67%,72%,64%,67%,61%,62%,62%,65%,69%,61%,62%,61%,60%,67%,67%,69%,60%,61%,60%,63%,60%,63%,67%,60%,61%,61%,63%,66%,60%,62%,57%,57%,57%,58%,57%,60%,62%,59%,55%,57%,56%,55%,60%,60%,56%,55%,56%,55%,55%,58%,60%,54%,46%,51%,57%,54%,55%,58%,55%,54%,54%,52%,52%,54%,56%,52%,54%,52%,52%,52%,55%,57%,55%,51%,52%,52%,51%,54%,55%,51%,52%,52%,53%,52%,53%,54%,51%,53%,54%,54%,53%,54%,55%,50%,52%,51%,51%,51%,51%,56%,49%,50%,51%,54%,54%,52%,53%,49%,50%,50%,50%,49%,49%,50%,49%,50%,50%,49%,51%,52%,51%,48%,52%,50%,50%,51%,54%,56%,50%,51%,50%,50%,48%,48%,47%,45%,50%,51%,49%,48%,50%,50%,42%,38%,49%,48%,47%,47%,47%,44%,47%,48%,48%,48%,48%,49%,47%,53%,51%,48%,47%,47%,46%,45%,48%,47%,48%,47%,47%,51%,45%,47%,47%,48%,48%,47%,51%,43%,38%,47%,47%,50%,49%,47%,42%,45%,46%,47%,48%,49%,47%,42%,47%,46%,43%,49%,51%,56%,44%,42%,46%,49%,48%,49%,45%,42%,48%,47%,48%,47%,48%,47%,42%,47%,47%,48%,48%,48%,47%,42%,48%,47%,46%,47%,47%,43%,44%,40%,48%,46%
